# ========
# captured on: Wed Feb  6 11:49:58 2013
# hostname : santana
# os release : 3.7.3-101.fc17.x86_64
# perf version : 3.7.3-101.fc17.x86_64
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 3612352 kB
# cmdline : /usr/bin/perf record --event=r003b088 -j any_call --pid=4158,4157,4156,4155,4154,4153,4152,4151,4150,4149,4148,4147,4146,4145,4144,4143,4142,4141,4140,4139,4138,4137,4136,4135,4134,4133,4132,4131,4130,4129,4128,4127,4126,4125,4124,4123,4122,4121,4120,4119,4118,4117,4116,4115,4114,4113,4112,4111,4110,4109,4108,4107,4106,4105,4104,4103,4102,4101,4100,4099,4098,4097,4096,4095,4088,4087,4086,4085,4083,4081 ./waitforpid.sh 4092 
# event : name = r003b088, type = 4, config = 0x3b088, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 51680, 51681, 51682, 51683, 51684, 51685, 51686, 51687, 51688, 51689, 51690, 51691, 51692, 51693, 51694, 51695, 51696, 51697, 51698, 51699, 51700, 51701, 51702, 51703, 51704, 51705, 51706, 51707, 51708, 51709, 51710, 51711, 51712, 51713, 51714, 51715, 51716, 51717, 51718, 51719, 51720, 51721, 51722, 51723, 51724, 51725, 51726, 51727, 51728, 51729, 51730, 51731, 51732, 51733, 51734, 51735, 51736, 51737, 51738, 51739, 51740, 51741, 51742, 51743, 51744, 51745, 51746, 51747, 51748, 51749 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# contains samples with branch stack
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9M of event 'r003b088'
# Event count (approx.): 9290766
#
# Overhead   Command  Source Shared Object                                  Source Symbol  Target Shared Object                                  Target Symbol
# ........  ........  ....................  .............................................  ....................  .............................................
#
     3.99%  postgres  postgres              [.] XidInMVCCSnapshot                          postgres              [.] TransactionIdPrecedes                    
     3.88%  postgres  postgres              [.] HeapTupleSatisfiesMVCC                     postgres              [.] XidInMVCCSnapshot                        
     3.53%  postgres  postgres              [.] TransactionIdIsInProgress                  postgres              [.] TransactionIdPrecedes                    
     2.57%  postgres  postgres              [.] GetSnapshotData                            postgres              [.] TransactionIdPrecedes                    
     1.96%  postgres  postgres              [.] index_getnext                              postgres              [.] CheckForSerializableConflictOut          
     1.91%  postgres  postgres              [.] index_getnext                              postgres              [.] HeapTupleSatisfiesMVCC                   
     1.73%  postgres  postgres              [.] XidInMVCCSnapshot                          postgres              [.] TransactionIdFollowsOrEquals             
     1.58%  postgres  [kernel.kallsyms]     [k] walk_tg_tree_from                          [kernel.kallsyms]     [k] tg_load_down                             
     1.56%  postgres  [kernel.kallsyms]     [k] walk_tg_tree_from                          [kernel.kallsyms]     [k] tg_nop                                   
     1.42%  postgres  postgres              [.] GetSnapshotData                            postgres              [.] TransactionIdFollowsOrEquals             
     1.39%  postgres  postgres              [.] new_list                                   postgres              [.] MemoryContextAlloc                       
     1.11%  postgres  postgres              [.] MemoryContextAllocZeroAligned              postgres              [.] AllocSetAlloc                            
     1.10%  postgres  postgres              [.] pg_encoding_mbcliplen                      postgres              [.] pg_utf_mblen                             
     1.10%  postgres  [kernel.kallsyms]     [k] cpumask_next_and                           [kernel.kallsyms]     [k] find_next_bit                            
     1.08%  postgres  postgres              [.] ScanKeywordLookup                          postgres              [.] strcmp@plt                               
     0.93%  postgres  [kernel.kallsyms]     [k] update_sd_lb_stats                         [kernel.kallsyms]     [k] cpumask_next_and                         
     0.92%  postgres  postgres              [.] expression_tree_walker                     postgres              [.] check_stack_depth                        
     0.75%  postgres  [kernel.kallsyms]     [k] update_sd_lb_stats                         [kernel.kallsyms]     [k] idle_cpu                                 
     0.67%  postgres  postgres              [.] CatalogCacheComputeHashValue               postgres              [.] DirectFunctionCall1Coll                  
     0.57%  postgres  postgres              [.] SearchCatCache                             postgres              [.] FunctionCall2Coll                        
     0.56%  postgres  postgres              [.] hash_search_with_hash_value                postgres              [.] memcmp@plt                               
     0.52%  postgres  [kernel.kallsyms]     [k] sched_clock                                [kernel.kallsyms]     [k] native_sched_clock                       
     0.51%  postgres  [kernel.kallsyms]     [k] native_sched_clock                         [kernel.kallsyms]     [k] native_read_tsc                          
     0.50%  postgres  [kernel.kallsyms]     [k] sched_clock_cpu                            [kernel.kallsyms]     [k] sched_clock                              
     0.48%  postgres  postgres              [.] DirectFunctionCall1Coll                    postgres              [.] hashoid                                  
     0.48%  postgres  postgres              [.] pg_qsort                                   postgres              [.] itemoffcompare                           
     0.46%  postgres  postgres              [k] tag_hash                                   postgres              [k] hash_any                                 
     0.46%  postgres  postgres              [.] _bt_readpage                               postgres              [.] _bt_checkkeys                            
     0.44%  postgres  postgres              [.] new_tail_cell.isra.2                       postgres              [.] MemoryContextAlloc                       
     0.44%  postgres  [kernel.kallsyms]     [k] update_rq_clock                            [kernel.kallsyms]     [k] sched_clock_cpu                          
     0.43%  postgres  postgres              [.] FunctionCall2Coll                          postgres              [.] oideq                                    
     0.43%  postgres  [kernel.kallsyms]     [k] select_task_rq_fair                        [kernel.kallsyms]     [k] idle_cpu                                 
     0.43%  postgres  postgres              [.] lappend                                    postgres              [.] new_tail_cell.isra.2                     
     0.41%  postgres  postgres              [.] SearchCatCache                             postgres              [.] CatalogCacheComputeHashValue             
     0.40%  postgres  [kernel.kallsyms]     [k] update_sd_lb_stats                         [kernel.kallsyms]     [k] source_load                              
     0.39%  postgres  postgres              [.] SearchCatCache                             postgres              [.] ResourceOwnerRememberCatCacheRef         
     0.39%  postgres  postgres              [.] lappend                                    postgres              [.] new_list                                 
     0.39%  postgres  postgres              [.] SearchCatCache                             postgres              [.] DLMoveToFront                            
     0.39%  postgres  postgres              [.] ReleaseCatCache                            postgres              [.] ResourceOwnerForgetCatCacheRef           
     0.39%  postgres  postgres              [.] SearchCatCache                             postgres              [.] ResourceOwnerEnlargeCatCacheRefs         
     0.36%  postgres  [kernel.kallsyms]     [k] update_curr                                [kernel.kallsyms]     [k] update_min_vruntime                      
     0.36%  postgres  postgres              [.] MemoryContextAllocZero                     postgres              [.] AllocSetAlloc                            
     0.35%  postgres  [kernel.kallsyms]     [k] select_task_rq_fair                        [kernel.kallsyms]     [k] find_next_bit                            
     0.30%  postgres  postgres              [.] base_yylex                                 postgres              [.] core_yylex                               
